Muestra	repetición	X
1	1	2,53
1	2	2,66
1	3	1,88
1	4	2,21
1	5	2,26
2	1	2,69
2	2	2,38
2	3	2,34
2	4	2,47
2	5	2,61
3	1	2,67
3	2	2,23
3	3	2,10
3	4	2,43
3	5	2,54
4	1	2,10
4	2	2,26
4	3	2,51
4	4	2,58
4	5	2,28
5	1	2,64
5	2	2,42
5	3	2,56
5	4	2,51
5	5	2,36
6	1	2,64
6	2	1,63
6	3	2,95
6	4	2,12
6	5	2,67
7	1	2,58
7	2	2,69
7	3	3,01
7	4	3,01
7	5	2,23
8	1	2,31
8	2	2,39
8	3	2,60
8	4	2,40
8	5	2,46
9	1	3,03
9	2	2,68
9	3	2,27
9	4	2,54
9	5	2,63
10	1	2,86
10	2	3,22
10	3	2,72
10	4	3,09
10	5	2,48
11	1	2,71
11	2	2,80
11	3	3,09
11	4	2,60
11	5	3,39
12	1	2,95
12	2	3,54
12	3	2,59
12	4	3,31
12	5	2,87
13	1	3,14
13	2	2,84
13	3	3,77
13	4	2,80
13	5	3,22
14	1	2,85
14	2	3,29
14	3	3,25
14	4	3,35
14	5	3,59
15	1	2,82
15	2	3,71
15	3	3,36
15	4	2,95
15	5	3,37
16	1	3,17
16	2	3,07
16	3	3,14
16	4	3,63
16	5	3,70
17	1	2,81
17	2	3,21
17	3	2,95
17	4	3,04
17	5	2,85
18	1	2,99
18	2	2,65
18	3	2,79
18	4	2,80
18	5	2,95
19	1	3,11
19	2	2,74
19	3	2,59
19	4	3,01
19	5	3,03
20	1	2,83
20	2	2,74
20	3	3,03
20	4	2,68
20	5	2,49
21	1	2,76
21	2	2,85
21	3	2,59
21	4	2,23
21	5	2,87
22	1	2,54
22	2	2,63
22	3	2,32
22	4	2,48
22	5	2,93
23	1	2,27
23	2	2,54
23	3	2,82
23	4	2,11
23	5	2,69
24	1	2,40
24	2	2,62
24	3	2,84
24	4	2,50
24	5	2,51
25	1	2,41
25	2	2,72
25	3	2,29
25	4	2,35
25	5	2,63
26	1	2,40
26	2	2,33
26	3	2,40
26	4	2,02
26	5	2,43
27	1	2,56
27	2	2,47
27	3	2,11
27	4	2,43
27	5	2,85
28	1	2,21
28	2	2,61
28	3	2,59
28	4	2,24
28	5	2,34
29	1	2,56
29	2	2,26
29	3	1,95
29	4	2,26
29	5	2,40
30	1	2,42
30	2	2,37
30	3	2,13
30	4	2,09
30	5	2,41
31	1	2,62
31	2	2,11
31	3	2,47
31	4	2,27
31	5	2,49
32	1	2,21
32	2	2,15
32	3	2,18
32	4	2,59
32	5	2,61
