Precio medio mensual del aceite de coco de Indonesia/Filipinas, CIF Rotterdam 		
https://www.indexmundi.com/commodities/?commodity=coconut-oil&months=60		
		
Mes	Año	Precio
1	2013	829,00
2	2013	861,00
3	2013	820,00
4	2013	793,00
5	2013	828,00
6	2013	895,00
7	2013	861,00
8	2013	894,00
9	2013	982,00
10	2013	985,00
11	2013	1270,00
12	2013	1269,00
1	2014	1270,00
2	2014	1365,00
3	2014	1394,00
4	2014	1356,00
5	2014	1403,75
6	2014	1402,00
7	2014	1260,00
8	2014	1172,00
9	2014	1181,00
10	2014	1144,00
11	2014	1194,00
12	2014	1217,00
1	2015	1159,00
2	2015	1187,00
3	2015	1096,00
4	2015	1080,00
5	2015	1133,00
6	2015	1131,00
7	2015	1100,00
8	2015	1037,00
9	2015	1063,00
10	2015	1108,00
11	2015	1073,00
12	2015	1147,00
1	2016	1155,00
2	2016	1216,00
3	2016	1448,00
4	2016	1586,00
5	2016	1445,00
6	2016	1563,00
7	2016	1507,00
8	2016	1529,00
9	2016	1547,00
10	2016	1463,00
11	2016	1538,00
12	2016	1699,00
1	2017	1815,00
2	2017	1703,00
3	2017	1549,00
4	2017	1580,00
5	2017	1687,00
6	2017	1697,00
7	2017	1591,00
8	2017	1604,00
9	2017	1525,00
10	2017	1485,00
11	2017	1549,00
12	2017	1443,33
