Letter;AQL;Size;Ac;Re
A;0.010;1250;0;1
B;0.010;1250;0;1
C;0.010;1250;0;1
D;0.010;1250;0;1
E;0.010;1250;0;1
F;0.010;1250;0;1
G;0.010;1250;0;1
H;0.010;1250;0;1
J;0.010;1250;0;1
K;0.010;1250;0;1
L;0.010;1250;0;1
M;0.010;1250;0;1
N;0.010;1250;0;1
P;0.010;1250;0;1
Q;0.010;1250;0;1
R;0.010;1250;0;1
A;0.015;800;0;1
B;0.015;800;0;1
C;0.015;800;0;1
D;0.015;800;0;1
E;0.015;800;0;1
F;0.015;800;0;1
G;0.015;800;0;1
H;0.015;800;0;1
J;0.015;800;0;1
K;0.015;800;0;1
L;0.015;800;0;1
M;0.015;800;0;1
N;0.015;800;0;1
P;0.015;800;0;1
Q;0.015;800;0;1
R;0.015;800;0;1
A;0.025;500;0;1
B;0.025;500;0;1
C;0.025;500;0;1
D;0.025;500;0;1
E;0.025;500;0;1
F;0.025;500;0;1
G;0.025;500;0;1
H;0.025;500;0;1
J;0.025;500;0;1
K;0.025;500;0;1
L;0.025;500;0;1
M;0.025;500;0;1
N;0.025;500;0;1
P;0.025;500;0;1
Q;0.025;2000;1;2
R;0.025;2000;1;2
A;0.040;315;0;1
B;0.040;315;0;1
C;0.040;315;0;1
D;0.040;315;0;1
E;0.040;315;0;1
F;0.040;315;0;1
G;0.040;315;0;1
H;0.040;315;0;1
J;0.040;315;0;1
K;0.040;315;0;1
L;0.040;315;0;1
M;0.040;315;0;1
N;0.040;315;0;1
P;0.040;1250;1;2
Q;0.040;1250;1;2
R;0.040;2000;2;3
A;0.065;200;0;1
B;0.065;200;0;1
C;0.065;200;0;1
D;0.065;200;0;1
E;0.065;200;0;1
F;0.065;200;0;1
G;0.065;200;0;1
H;0.065;200;0;1
J;0.065;200;0;1
K;0.065;200;0;1
L;0.065;200;0;1
M;0.065;200;0;1
N;0.065;800;1;2
P;0.065;800;1;2
Q;0.065;1250;2;3
R;0.065;2000;3;4
A;0.1;125;0;1
B;0.1;125;0;1
C;0.1;125;0;1
D;0.1;125;0;1
E;0.1;125;0;1
F;0.1;125;0;1
G;0.1;125;0;1
H;0.1;125;0;1
J;0.1;125;0;1
K;0.1;125;0;1
L;0.1;125;0;1
M;0.1;500;1;2
N;0.1;500;1;2
P;0.1;800;2;3
Q;0.1;1250;3;4
R;0.1;2000;5;6
A;0.15;80;0;1
B;0.15;80;0;1
C;0.15;80;0;1
D;0.15;80;0;1
E;0.15;80;0;1
F;0.15;80;0;1
G;0.15;80;0;1
H;0.15;80;0;1
J;0.15;80;0;1
K;0.15;80;0;1
L;0.15;315;1;2
M;0.15;315;1;2
N;0.15;500;2;3
P;0.15;800;3;4
Q;0.15;1250;5;6
R;0.15;2000;7;8
A;0.25;50;0;1
B;0.25;50;0;1
C;0.25;50;0;1
D;0.25;50;0;1
E;0.25;50;0;1
F;0.25;50;0;1
G;0.25;50;0;1
H;0.25;50;0;1
J;0.25;50;0;1
K;0.25;200;1;2
L;0.25;200;1;2
M;0.25;315;2;3
N;0.25;500;3;4
P;0.25;800;5;6
Q;0.25;1250;7;8
R;0.25;2000;10;11
A;0.40;32;0;1
