Letter;AQL;Size;Ac;Re
A;0.010;500;0;1
B;0.010;500;0;1
C;0.010;500;0;1
D;0.010;500;0;1
E;0.010;500;0;1
F;0.010;500;0;1
G;0.010;500;0;1
H;0.010;500;0;1
J;0.010;500;0;1
K;0.010;500;0;1
L;0.010;500;0;1
M;0.010;500;0;1
N;0.010;500;0;1
P;0.010;500;0;1
Q;0.010;500;0;1
R;0.010;500;0;1
A;0.015;315;0;1
B;0.015;315;0;1
C;0.015;315;0;1
D;0.015;315;0;1
E;0.015;315;0;1
F;0.015;315;0;1
G;0.015;315;0;1
H;0.015;315;0;1
J;0.015;315;0;1
K;0.015;315;0;1
L;0.015;315;0;1
M;0.015;315;0;1
N;0.015;315;0;1
P;0.015;315;0;1
Q;0.015;315;0;1
R;0.015;315;0;1
A;0.025;200;0;1
B;0.025;200;0;1
C;0.025;200;0;1
D;0.025;200;0;1
E;0.025;200;0;1
F;0.025;200;0;1
G;0.025;200;0;1
H;0.025;200;0;1
J;0.025;200;0;1
K;0.025;200;0;1
L;0.025;200;0;1
M;0.025;200;0;1
N;0.025;200;0;1
P;0.025;200;0;1
Q;0.025;800;0;2
R;0.025;800;0;2
A;0.040;125;0;1
B;0.040;125;0;1
C;0.040;125;0;1
D;0.040;125;0;1
E;0.040;125;0;1
F;0.040;125;0;1
G;0.040;125;0;1
H;0.040;125;0;1
J;0.040;125;0;1
K;0.040;125;0;1
L;0.040;125;0;1
M;0.040;125;0;1
N;0.040;125;0;1
P;0.040;500;0;2
Q;0.040;500;0;2
R;0.040;800;1;3
A;0.065;80;0;1
B;0.065;80;0;1
C;0.065;80;0;1
D;0.065;80;0;1
E;0.065;80;0;1
F;0.065;80;0;1
G;0.065;80;0;1
H;0.065;80;0;1
J;0.065;80;0;1
K;0.065;80;0;1
L;0.065;80;0;1
M;0.065;80;0;1
N;0.065;315;0;2
P;0.065;315;0;2
Q;0.065;500;1;3
R;0.065;800;1;4
A;0.1;50;0;1
B;0.1;50;0;1
C;0.1;50;0;1
D;0.1;50;0;1
E;0.1;50;0;1
F;0.1;50;0;1
G;0.1;50;0;1
H;0.1;50;0;1
J;0.1;50;0;1
K;0.1;50;0;1
L;0.1;50;0;1
M;0.1;200;0;2
N;0.1;200;0;2
P;0.1;315;1;3
Q;0.1;500;1;4
R;0.1;800;2;5

A;0.15;125;0;1
B;0.15;125;0;1
C;0.15;125;0;1
D;0.15;125;0;1
E;0.15;125;0;1
F;0.15;125;0;1
G;0.15;125;0;1
H;0.15;125;0;1
J;0.15;125;0;1
K;0.15;125;0;1
L;0.15;500;1;2
M;0.15;500;1;2
N;0.15;500;1;2
P;0.15;800;2;3
Q;0.15;1250;3;4
R;0.15;2000;5;6
S;0.15;2000;5;6
A;0.25;80;0;1
B;0.25;80;0;1
C;0.25;80;0;1
D;0.25;80;0;1
E;0.25;80;0;1
F;0.25;80;0;1
G;0.25;80;0;1
H;0.25;80;0;1
J;0.25;80;0;1
K;0.25;315;1;2
L;0.25;315;1;2
M;0.25;315;1;2
N;0.25;500;2;3
P;0.25;800;3;4
Q;0.25;1250;5;6
R;0.25;2000;8;9
S;0.25;2000;8;9
A;0.40;50;0;1
B;0.40;50;0;1
C;0.40;50;0;1
D;0.40;50;0;1
E;0.40;50;0;1
F;0.40;50;0;1
G;0.40;50;0;1
H;0.40;50;0;1
J;0.40;200;1;2
K;0.40;200;1;2
L;0.40;200;1;2
M;0.40;315;2;3
N;0.40;500;3;4
P;0.40;800;5;6
Q;0.40;1250;8;9
R;0.40;2000;12;13
S;0.40;2000;12;13
A;0.65;32;0;1
B;0.65;32;0;1
C;0.65;32;0;1
D;0.65;32;0;1
E;0.65;32;0;1
F;0.65;32;0;1
G;0.65;32;0;1
H;0.65;125;1;2
J;0.65;125;1;2
K;0.65;125;1;2
L;0.65;200;2;3
M;0.65;315;3;4
N;0.65;500;5;6
P;0.65;800;8;9
Q;0.65;1250;12;13
R;0.65;2000;18;19
S;0.65;2000;18;19
A;1;20;0;1
B;1;20;0;1
C;1;20;0;1
D;1;20;0;1
E;1;20;0;1
F;1;20;0;1
G;1;80;1;2
H;1;80;1;2
J;1;80;1;2
K;1;125;2;3
L;1;200;3;4
M;1;315;5;6
N;1;500;8;9
P;1;800;12;13
Q;1;1250;18;19
R;1;1250;18;19
S;1;1250;18;19
A;1.5;13;0;1
B;1.5;13;0;1
C;1.5;13;0;1
D;1.5;13;0;1
E;1.5;13;0;1
F;1.5;50;1;2
G;1.5;50;1;2
H;1.5;50;1;2
J;1.5;80;2;3
K;1.5;125;3;4
L;1.5;200;5;6
M;1.5;315;8;9
N;1.5;500;12;13
P;1.5;800;18;19
Q;1.5;800;18;19
R;1.5;800;18;19
S;1.5;800;18;19
A;2.5;8;0;1
B;2.5;8;0;1
C;2.5;8;0;1
D;2.5;8;0;1
E;2.5;32;1;2
F;2.5;32;1;2
G;2.5;32;1;2
H;2.5;50;2;3
J;2.5;80;3;4
K;2.5;125;5;6
L;2.5;200;8;9
M;2.5;315;12;13
N;2.5;500;18;19
P;2.5;500;18;19
Q;2.5;500;18;19
R;2.5;500;18;19
S;2.5;500;18;19
A;4;5;0;1
B;4;5;0;1
C;4;5;0;1
D;4;20;1;2
E;4;20;1;2
F;4;20;1;2
G;4;32;2;3
H;4;50;3;4
J;4;80;5;6
K;4;125;8;9
L;4;200;12;13
M;4;315;18;19
N;4;315;18;19
P;4;315;18;19
Q;4;315;18;19
R;4;315;18;19
S;4;315;18;19
A;6.5;3;0;1
B;6.5;3;0;1
C;6.5;13;1;2
D;6.5;13;1;2
E;6.5;13;1;2
F;6.5;20;2;3
G;6.5;32;3;4
H;6.5;50;5;6
J;6.5;80;8;9
K;6.5;125;12;13
L;6.5;200;18;19
M;6.5;200;18;19
N;6.5;200;18;19
P;6.5;200;18;19
Q;6.5;200;18;19
R;6.5;200;18;19
S;6.5;200;18;19
A;10;8;1;2
B;10;8;1;2
C;10;8;1;2
D;10;8;1;2
E;10;13;2;3
F;10;20;3;4
G;10;32;5;6
H;10;50;8;9
J;10;80;12;13
K;10;125;18;19
L;10;125;18;19
M;10;125;18;19
N;10;125;18;19
P;10;125;18;19
Q;10;125;18;19
R;10;125;18;19
S;10;125;18;19
A;15;5;1;2
B;15;5;1;2
C;15;5;1;2
D;15;8;2;3
E;15;13;3;4
F;15;20;5;6
G;15;32;8;9
H;15;50;12;13
J;15;80;18;19
K;15;80;18;19
L;15;80;18;19
M;15;80;18;19
N;15;80;18;19
P;15;80;18;19
Q;15;80;18;19
R;15;80;18;19
S;15;80;18;19
A;25;3;1;2
B;25;3;1;2
C;25;5;2;3
D;25;8;3;4
E;25;13;5;6
F;25;20;8;9
G;25;32;12;13
H;25;50;18;19
J;25;50;18;19
K;25;50;18;19
L;25;50;18;19
M;25;50;18;19
N;25;50;18;19
P;25;50;18;19
Q;25;50;18;19
R;25;50;18;19
S;25;50;18;19
A;40;2;1;2
B;40;3;2;3
C;40;5;3;4
D;40;8;5;6
E;40;13;8;9
F;40;20;12;13
G;40;32;18;19
H;40;32;18;19
J;40;32;18;19
K;40;32;18;19
L;40;32;18;19
M;40;32;18;19
N;40;32;18;19
P;40;32;18;19
Q;40;32;18;19
R;40;32;18;19
S;40;32;18;19
A;65;2;2;3
B;65;3;3;4
C;65;5;5;6
D;65;8;8;9
E;65;13;12;13
F;65;20;18;19
G;65;20;18;19
H;65;20;18;19
J;65;20;18;19
K;65;20;18;19
L;65;20;18;19
M;65;20;18;19
N;65;20;18;19
P;65;20;18;19
Q;65;20;18;19
R;65;20;18;19
S;65;20;18;19
A;100;2;3;4
B;100;3;5;6
C;100;5;8;9
D;100;8;12;13
E;100;13;18;19
F;100;13;18;19
G;100;13;18;19
H;100;13;18;19
J;100;13;18;19
K;100;13;18;19
L;100;13;18;19
M;100;13;18;19
N;100;13;18;19
P;100;13;18;19
Q;100;13;18;19
R;100;13;18;19
S;100;13;18;19
A;150;2;5;6
B;150;3;8;9
C;150;5;12;13
D;150;8;18;19
E;150;13;27;28
F;150;13;27;28
G;150;13;27;28
H;150;13;27;28
J;150;13;27;28
K;150;13;27;28
L;150;13;27;28
M;150;13;27;28
N;150;13;27;28
P;150;13;27;28
Q;150;13;27;28
R;150;13;27;28
S;150;13;27;28
A;250;2;8;9
B;250;3;12;13
C;250;5;18;19
D;250;8;27;28
E;250;13;41;42
F;250;13;41;42
G;250;13;41;42
H;250;13;41;42
J;250;13;41;42
K;250;13;41;42
L;250;13;41;42
M;250;13;41;42
N;250;13;41;42
P;250;13;41;42
Q;250;13;41;42
R;250;13;41;42
S;250;13;41;42
A;400;2;12;13
B;400;3;18;19
C;400;5;27;28
D;400;8;41;42
E;400;8;41;42
F;400;8;41;42
G;400;8;41;42
H;400;8;41;42
J;400;8;41;42
K;400;8;41;42
L;400;8;41;42
M;400;8;41;42
N;400;8;41;42
P;400;8;41;42
Q;400;8;41;42
R;400;8;41;42
S;400;8;41;42
A;650;2;18;19
B;650;3;27;28
C;650;5;41;42
D;650;5;41;42
E;650;5;41;42
F;650;5;41;42
G;650;5;41;42
H;650;5;41;42
J;650;5;41;42
K;650;5;41;42
L;650;5;41;42
M;650;5;41;42
N;650;5;41;42
P;650;5;41;42
Q;650;5;41;42
R;650;5;41;42
S;650;5;41;42
A;1000;2;27;28
B;1000;3;41;42
C;1000;3;41;42
D;1000;3;41;42
E;1000;3;41;42
F;1000;3;41;42
G;1000;3;41;42
H;1000;3;41;42
J;1000;3;41;42
K;1000;3;41;42
L;1000;3;41;42
M;1000;3;41;42
N;1000;3;41;42
P;1000;3;41;42
Q;1000;3;41;42
R;1000;3;41;42
S;1000;3;41;42
